2019-05-14 22:46:35 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:46:35 | INFO | Base_Logging | ui_top_wear_page | Script duration: 48 seconds

2019-05-14 22:46:35 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:46:36 | INFO | Base_Logging | log_result | PASS: Verified the product's link coming in the request are correctly populated in the carousel
2019-05-14 22:46:36 | INFO | Base_Logging | ui_top_wear_page | Script duration: 49 seconds

2019-05-14 22:46:40 | DEBUG | Base_Logging | conditional_write | Clicked on productlinks in top wear page - carousel
2019-05-14 22:46:41 | DEBUG | Base_Logging | conditional_write | Automation switched to the browser window: None
2019-05-14 22:46:43 | INFO | Base_Logging | log_result | PASS: Verified after clicking on the recommended product populated in the carousel
2019-05-14 22:46:43 | INFO | Base_Logging | ui_top_wear_page | Script duration: 56 seconds

2019-05-14 22:46:44 | INFO | Base_Logging | write_test_summary | 

************************
--------RESULT--------
Total number of checks=12
2019-05-14 22:46:44 | INFO | Base_Logging | write_test_summary | Total number of checks passed=12
----------------------
************************


2019-05-14 22:46:44 | INFO | Base_Logging | write_test_summary | Total number of mini-checks=14
2019-05-14 22:46:44 | INFO | Base_Logging | write_test_summary | Total number of mini-checks passed=5
2019-05-14 22:46:44 | INFO | Base_Logging | write_test_summary | ************************
2019-05-14 22:54:11 | DEBUG | Base_Logging | conditional_write | Verified Style Element is present in the top wear page
2019-05-14 22:54:12 | INFO | Base_Logging | log_result | PASS: Verified Style Element is present in the top wear page
2019-05-14 22:54:12 | INFO | Base_Logging | ui_top_wear_page | Script duration: 19 seconds

2019-05-14 22:54:22 | DEBUG | Base_Logging | conditional_write | Clicked on Style Element in top wear page
2019-05-14 22:54:23 | INFO | Base_Logging | log_result | PASS: Clicked on Style Element in top wear page
2019-05-14 22:54:23 | INFO | Base_Logging | ui_top_wear_page | Script duration: 30 seconds

2019-05-14 22:54:24 | DEBUG | Base_Logging | conditional_write | Unable to find request that matches the condition
2019-05-14 22:54:25 | INFO | Base_Logging | log_result | PASS: find the request made to the get_product_meta
2019-05-14 22:54:25 | INFO | Base_Logging | ui_top_wear_page | Script duration: 32 seconds

2019-05-14 22:54:25 | INFO | Base_Logging | log_result | PASS: find the request method made to the get_product_meta
2019-05-14 22:54:25 | INFO | Base_Logging | ui_top_wear_page | Script duration: 32 seconds

2019-05-14 22:54:25 | INFO | Base_Logging | log_result | PASS: find the request hdeader host to the get_product_meta
2019-05-14 22:54:25 | INFO | Base_Logging | ui_top_wear_page | Script duration: 32 seconds

